source,text,ref,new
"תוספות שם ד""ה 'נשים':","['נשים בברכת המזון דאורייתא או דרבנן – פי\' הקונטרס דסלקא דעתך דלא מחייבי מדאורייתא משום דכתיב על הארץ הטובה ונשים לא נטלו חלק בארץ ומה שנטלו בנות צלפחד חלק אביהם נטלו. ותימה כהנים ולוים נמי תבעי שהרי לא נטלו חלק בארץ וא""כ לא יוציאו אחרים ידי חובתן בברכת המזון אלא י""ל דטעמא משום דכתיב על בריתך שחתמת בבשרנו ועל תורתך שלמדתנו ונשים ליתנהו לא בברית ולא בתורה ואמרינן לקמן (דף מט ע""א) מי שלא אמר ברית ותורה בברכת המזון לא יצא ידי חובתו והשתא קא מבעיא ליה כיון דלא מצו למימר ברית ותורה לא הוו אלא מדרבנן או דלמא כיון דלא שייך בהו הוי שפיר דאורייתא והא דלקמן מיירי באנשים דשייכי בברית ותורה.']",,Tosafot on Berakhot 20a
"ברכות מה ע""א, המשנה (פ""ז מ""א):","['שלשה שאכלו כאחת חייבין לזמן. אכל דמאי, ומעשר ראשון שנטלה תרומתו, מעשר שני והקדש שנפדו, והשמש שאכל כזית, והכותי - מזמנין עליו. אכל טבל, ומעשר ראשון שלא נטלה תרומתו, ומעשר שני והקדש שלא נפדו, והשמש שאכל פחות מכזית, והנכרי - אין מזמנין עליו. נשים ועבדים וקטנים אין מזמנין עליהן. עד כמה מזמנין? עד כזית; רבי יהודה אומר: עד כביצה.']",Berakhot 45a,
"רמב""ם הלכות ברכות א, יט:",['כל האוכל דבר האסור בין בזדון בין בשגגה אינו מברך עליו לא בתחלה ולא בסוף. כיצד? הרי שאכל טבל של דבריהם או שאכל מעשר ראשון שלא נטלו תרומותיו או מעשר שני והקדש שלא נפדו כהלכתן אינו מברך. ואין צריך לומר אם אכל נבלות וטרפות או שתה יין נסך וכיוצא בו.'],"Mishneh Torah, Blessings 1:19",
"השגת הראב""ד שם:","['א""א: טעה בזה טעות גדולה, שלא אמרו שאין מברכין אלא שאין מזמנין עליהם, לומר שאין להם חשיבות קביעות הואיל ואוכלין דבר האסור והוא כעין אכילת פירות שאין להם קבע לזימון. אבל ברכה תחלה וסוף למה לא יברכו הואיל ונהנו? עכ""ל.']",,
"ברכות מה ע""א (בהמשך למשנה שם, המובאת לעיל):","[""גמרא. מנא הני מילי? אמר רב אסי: דאמר קרא גדלו לה' אתי ונרוממה שמו יחדו. רבי אבהו אמר מהכא: כי שם ה' אקרא הבו גודל לאלהינו. אמר רב חנן בר אבא: מנין לעונה אמן שלא יגביה קולו יותר מן המברך - שנאמר: גדלו לה' אתי ונרוממה שמו יחדו. אמר רבי שמעון בן פזי: מנין שאין המתרגם רשאי להגביה קולו יותר מן הקורא - שנאמר: משה ידבר והאלהים יעננו בקול; שאין תלמוד לומר בקול, ומה תלמוד לומר בקול - בקולו של משה. תניא נמי הכי: אין המתרגם רשאי להגביה קולו יותר מן הקורא, ואם אי אפשר למתרגם להגביה קולו כנגד הקורא - ימעך הקורא קולו ויקרא."", 'אתמר: שנים שאכלו כאחת; פליגי רב ורבי יוחנן, חד אמר: אם רצו לזמן מזמנין; וחד אמר: אם רצו לזמן - אין מזמנין.']",Berakhot 45a,
"רש""י שם ד""ה 'שלשה שאכלו':","[""שלשה שאכלו וכו' לזמן – להזדמן יחד לצרוף ברכה בלשון רבים כגון נברך.""]",Rashi on Berakhot 45a:4:1,
"רמב""ם הלכות ברכות ה, ב:","['שלשה שאכלו פת כאחד חייבין לברך ברכת הזימון קודם ברכת המזון. ואי זו היא ברכת הזימון? אם היו האוכלים משלשה עד עשרה, מברך אחד מהם ואומר נברך שאכלנו משלו, והכל עונין ברוך שאכלנו משלו ובטובו חיינו, והוא חוזר ומברך ברוך שאכלנו משלו ובטובו חיינו.']","Mishneh Torah, Blessings 5:2",
בראשית יז:,"[""וַיְהִי אַבְרָם בֶּן תִּשְׁעִים שָׁנָה וְתֵשַׁע שָׁנִים וַיֵּרָא ה' אֶל אַבְרָם וַיֹּאמֶר אֵלָיו אֲנִי אֵל שַׁדַּי הִתְהַלֵּךְ לְפָנַי וֶהְיֵה תָמִים: וְאֶתְּנָה בְרִיתִי בֵּינִי וּבֵינֶךָ וְאַרְבֶּה אוֹתְךָ בִּמְאֹד מְאֹד: וַיִּפֹּל אַבְרָם עַל פָּנָיו וַיְדַבֵּר אִתּוֹ אֱלֹהִים לֵאמֹר: אֲנִי הִנֵּה בְרִיתִי אִתָּךְ וְהָיִיתָ לְאַב הֲמוֹן גּוֹיִם: וְלֹא יִקָּרֵא עוֹד אֶת שִׁמְךָ אַבְרָם וְהָיָה שִׁמְךָ אַבְרָהָם כִּי אַב הֲמוֹן גּוֹיִם נְתַתִּיךָ: וְהִפְרֵתִי אֹתְךָ בִּמְאֹד מְאֹד וּנְתַתִּיךָ לְגוֹיִם וּמְלָכִים מִמְּךָ יֵצֵאוּ: וַהֲקִמֹתִי אֶת בְּרִיתִי בֵּינִי וּבֵינֶךָ וּבֵין זַרְעֲךָ אַחֲרֶיךָ לְדֹרֹתָם לִבְרִית עוֹלָם לִהְיוֹת לְךָ לֵאלֹהִים וּלְזַרְעֲךָ אַחֲרֶיךָ: וְנָתַתִּי לְךָ וּלְזַרְעֲךָ אַחֲרֶיךָ אֵת אֶרֶץ מְגֻרֶיךָ אֵת כָּל אֶרֶץ כְּנַעַן לַאֲחֻזַּת עוֹלָם וְהָיִיתִי לָהֶם לֵאלֹהִים: וַיֹּאמֶר אֱלֹהִים אֶל אַבְרָהָם וְאַתָּה אֶת בְּרִיתִי תִשְׁמֹר אַתָּה וְזַרְעֲךָ אַחֲרֶיךָ לְדֹרֹתָם: זֹאת בְּרִיתִי אֲשֶׁר תִּשְׁמְרוּ בֵּינִי וּבֵינֵיכֶם וּבֵין זַרְעֲךָ אַחֲרֶיךָ הִמּוֹל לָכֶם כָּל זָכָר: וּנְמַלְתֶּם אֵת בְּשַׂר עָרְלַתְכֶם וְהָיָה לְאוֹת בְּרִית בֵּינִי וּבֵינֵיכֶם: וּבֶן שְׁמֹנַת יָמִים יִמּוֹל לָכֶם כָּל זָכָר לְדֹרֹתֵיכֶם יְלִיד בָּיִת וּמִקְנַת כֶּסֶף מִכֹּל בֶּן נֵכָר אֲשֶׁר לֹא מִזַּרְעֲךָ הוּא: הִמּוֹל יִמּוֹל יְלִיד בֵּיתְךָ וּמִקְנַת כַּסְפֶּךָ וְהָיְתָה בְרִיתִי בִּבְשַׂרְכֶם לִבְרִית עוֹלָם: וְעָרֵל זָכָר אֲשֶׁר לֹא יִמּוֹל אֶת בְּשַׂר עָרְלָתוֹ וְנִכְרְתָה הַנֶּפֶשׁ הַהִוא מֵעַמֶּיהָ אֶת בְּרִיתִי הֵפַר: וַיֹּאמֶר אֱלֹהִים אֶל אַבְרָהָם שָׂרַי אִשְׁתְּךָ לֹא תִקְרָא אֶת שְׁמָהּ שָׂרָי כִּי שָׂרָה שְׁמָהּ: וּבֵרַכְתִּי אֹתָהּ וְגַם נָתַתִּי מִמֶּנָּה לְךָ בֵּן וּבֵרַכְתִּיהָ וְהָיְתָה לְגוֹיִם מַלְכֵי עַמִּים מִמֶּנָּה יִהְיוּ: וַיִּפֹּל אַבְרָהָם עַל פָּנָיו וַיִּצְחָק וַיֹּאמֶר בְּלִבּוֹ הַלְּבֶן מֵאָה שָׁנָה יִוָּלֵד וְאִם שָׂרָה הֲבַת תִּשְׁעִים שָׁנָה תֵּלֵד: וַיֹּאמֶר אַבְרָהָם אֶל הָאֱלֹהִים לוּ יִשְׁמָעֵאל יִחְיֶה לְפָנֶיךָ: וַיֹּאמֶר אֱלֹהִים אֲבָל שָׂרָה אִשְׁתְּךָ יֹלֶדֶת לְךָ בֵּן וְקָרָאתָ אֶת שְׁמוֹ יִצְחָק וַהֲקִמֹתִי אֶת בְּרִיתִי אִתּוֹ לִבְרִית עוֹלָם לְזַרְעוֹ אַחֲרָיו: וּלְיִשְׁמָעֵאל שְׁמַעְתִּיךָ הִנֵּה בֵּרַכְתִּי אֹתוֹ וְהִפְרֵיתִי אֹתוֹ וְהִרְבֵּיתִי אֹתוֹ בִּמְאֹד מְאֹד שְׁנֵים עָשָׂר נְשִׂיאִם יוֹלִיד וּנְתַתִּיו לְגוֹי גָּדוֹל: וְאֶת בְּרִיתִי אָקִים אֶת יִצְחָק אֲשֶׁר תֵּלֵד לְךָ שָׂרָה לַמּוֹעֵד הַזֶּה בַּשָּׁנָה הָאַחֶרֶת: וַיְכַל לְדַבֵּר אִתּוֹ וַיַּעַל אֱלֹהִים מֵעַל אַבְרָהָם: וַיִּקַּח אַבְרָהָם אֶת יִשְׁמָעֵאל בְּנוֹ וְאֵת כָּל יְלִידֵי בֵיתוֹ וְאֵת כָּל מִקְנַת כַּסְפּוֹ כָּל זָכָר בְּאַנְשֵׁי בֵּית אַבְרָהָם וַיָּמָל אֶת בְּשַׂר עָרְלָתָם בְּעֶצֶם הַיּוֹם הַזֶּה כַּאֲשֶׁר דִּבֶּר אִתּוֹ אֱלֹהִים: וְאַבְרָהָם בֶּן תִּשְׁעִים וָתֵשַׁע שָׁנָה בְּהִמֹּלוֹ בְּשַׂר עָרְלָתוֹ: וְיִשְׁמָעֵאל בְּנוֹ בֶּן שְׁלֹשׁ עֶשְׂרֵה שָׁנָה בְּהִמֹּלוֹ אֵת בְּשַׂר עָרְלָתוֹ: בְּעֶצֶם הַיּוֹם הַזֶּה נִמּוֹל אַבְרָהָם וְיִשְׁמָעֵאל בְּנוֹ: וְכָל אַנְשֵׁי בֵיתוֹ יְלִיד בָּיִת וּמִקְנַת כֶּסֶף מֵאֵת בֶּן נֵכָר נִמֹּלוּ אִתּוֹ:""]",Genesis 17,
"ויקרא יב, א–ג:","[""וַיְדַבֵּר ה' אֶל מֹשֶׁה לֵּאמֹר: דַּבֵּר אֶל בְּנֵי יִשְׂרָאֵל לֵאמֹר אִשָּׁה כִּי תַזְרִיעַ וְיָלְדָה זָכָר וְטָמְאָה שִׁבְעַת יָמִים כִּימֵי נִדַּת דְּוֹתָהּ תִּטְמָא: וּבַיּוֹם הַשְּׁמִינִי יִמּוֹל בְּשַׂר עָרְלָתוֹ:""]",Leviticus 12:1-3,
"מורה נבוכים ג, מט (תרגום הרב קאפח):",['וכן המילה לדעתי אחד מטעמיה מיעט התשמיש והחלשת האבר הזה כדי שימעט בפעולה זו ויתאפק ככל האפשר... ואותו הנזק הגופני הנעשה באבר זה הוא המטרה אשר לא יתקלקל בו מאומה מן הפעולות שבהן יציבות האדם ולא בטלה בה ההזרעה אבל פחתה בה הלהיטות והתאוותנות המופרזים מכדי הצורך והיות המילה ממעטת כח הקשוי ואפשר אף מיעוט ההנאה הוא דבר שאין בו ספק כי האבר כאשר הוטף ממנו דם והוסר המגן שלו מראשית גדילתו אין ספק שהוא נחלש... ויש במילה לדעתי עוד ענין אחר חשוב מאד והוא שיהו כל בעלי ההשקפה הזו כלומר סוברי יחוד השם להם סימן אחד גופני הכוללם ולא יוכל מי שאינו מהם לטעון שהוא מהם והוא נכרי... ומעשה זה לא יעשהו האדם בעצמו או בבנו אלא מתוך דעה ברורה כי אין זו שריטה בשוק או כויה בזרוע אלא דבר שהיה קשה מאד מאד וידוע גם ערך האהבה והעזרה המתפתחים בין בני אדם אשר כולם באות אחד והיא כעין הברית והמבטח וכך המילה הזו היא הברית אשר כרת אברהם אבינו על הדעה ביחוד השם וכך כל הנמול הרי הוא נכנס בברית אברהם ומתחייב בבריתו להיות בדעה על היחוד להיות לך לאלהים ולזרעך אחריך.'],,
